Country,Cars,Commercial_vehicles,Total,change,id,Customs_duty,Result,Balance
Argentina, 203700, 268458, 472158, -0.13,699,12,640.75,640.7312719469372
Australia, 88195, 10437, 98632, -38.85,941,12,862.5833333333334,862.5694216339806
Austria, 81000, 18880, 99880, -8.98,87,12,79.75,79.59952978056427
Belgium, 336000, 43140, 379140, -5.08,196,12,179.66666666666666,179.59987631416203
Brazil, 2269468, 430204, 2699672, 25.2,937,12,858.9166666666666,858.9026955790563
Canada, 749458, 1450331, 2199789, -7.21,503,12,461.0833333333333,461.05730766913666
China, 24806687, 4208747, 29015434, 3.19,255,12,233.75,233.69866310160427
Czech Rep., 1413881, 6112, 1419993, 0,792,12,726.0,725.9834710743802
Egypt, 9970, 26670, 36640, 1.13,226,12,207.16666666666666,207.1087422901582
Finland, 91598, 0, 91598, 90.83,913,12,836.9166666666666,836.9023283215506
France, 1748000, 479000, 2227000, 6.54,432,12,396.0,395.969696969697
Germany, 5645581, 0, 5645581, -1.76,560,12,513.3333333333334,513.3099567099567
Hungary, 502000, 3400, 505400, -4.01,577,12,528.9166666666666,528.893978782627
India, 3952550, 830346, 4782896, 5.83,456,12,418.0,417.9712918660287
Indonesia, 982356, 234259, 1216615, 3.3,802,12,735.1666666666666,735.1503438373762
Iran, 1418550, 96846, 1515396, 18.19,591,12,541.75,541.7278495616059
Italy, 742642, 399568, 1142210, 3.53,195,12,178.75,178.68286713286713
Japan, 8347836, 1345910, 9693746, 5.31,555,12,508.75,508.72641277641276
Malaysia, 424880, 35260, 460140, -15.62,388,12,355.6666666666667,355.6329272102468
Morocco, 341802, 34484, 376826, 9,684,12,627.0,626.9808612440191
Mexico, 1900029, 2168386, 4068415, 13,259,12,237.41666666666666,237.3661226161226
Netherlands, 155000, 2280, 157280, 74.97,826,12,757.1666666666666,757.1508181084452
Poland, 514700, 175029, 689729, 1.16,450,12,412.5,412.4709090909091
Portugal, 126426, 49118, 175544, 22.68,248,12,227.33333333333334,227.28054740957967
Romania, 359240, 10, 359250, -0.02,652,12,597.6666666666666,597.6465885852389
Russia, 1348029, 203264, 1551293, 19.01,214,12,196.16666666666666,196.10549419427923
Serbia, 79360, 552, 79912, -0.51,105,12,96.25,96.12532467532468
Slovakia, 1001520, 0, 1001520, -3.7,986,12,903.8333333333334,903.8200565492655
Slovenia, 189852, 0, 189852, 42,172,12,157.66666666666666,157.5905567300916
South Africa, 321358, 268593, 589951, -1.51,617,12,565.5833333333334,565.5621163007711
South Korea, 3735399, 379514, 4114913, -2.69,334,12,306.1666666666667,306.1274723280711
Spain, 2291492, 556843, 2848335, -1.3,735,12,673.75,673.7321892393321
Sweden, 226000, 0, 226000, 10.04,464,12,425.3333333333333,425.3051201671891
Taiwan, 230356, 61207, 291563, -5.8,307,12,281.4166666666667,281.3740252689764
Thailand, 818440, 1170383, 1988823, 2.28,765,12,701.25,701.2328877005348
Turkey, 1142906, 552825, 1695731, 14.12,964,12,883.6666666666666,883.653086885452
Ukraine, 7296, 2246, 9542, 81.27,287,12,263.0833333333333,263.03772040967164
UK, 1671166, 78219, 1749385, -3.70,131,12,120.08333333333333,119.98340272958593
USA, 3033216, 8156769, 11189985, -8.13,140,12,128.33333333333334,128.23982683982686
Uzbekistan, 140247, 0, 140247, 59.10,911,12,835.0833333333334,835.0689635099625
Others, 536725, 221947, 758672, 16,812,12,744.3333333333334,744.3172115241081
